,Dissolved Oxygen
2020-01-16,-0.013659338858640934
2020-01-23,-0.034659423296860795
2020-01-28,-0.03652997763983844
2020-01-31,-0.030983809135831687
2020-02-02,-0.03681388128358796
2020-02-05,-0.05491898663036069
2020-02-07,-0.04608515430491473
2020-02-10,-0.06401765843849368
2020-02-12,-0.11988366834729554
2020-02-15,-0.11025828920993835
2020-02-17,-0.08312200384255812
2020-03-01,-0.09592571860481708
2020-03-03,-0.05068922006850837
2020-03-06,-0.0710568441425974
2020-03-16,-0.06422084675593621
2020-03-18,-0.03140925403214189
2020-03-23,-0.04294129045554432
2020-03-26,-0.04383578220583124
2020-03-28,-0.033682673678146875
2020-03-31,-0.05276614233586452
2020-04-02,-0.047247709084657995
2020-04-05,-0.0634212757355013
2020-04-07,-0.06264840196417658
2020-04-10,-0.05126950640302203
2020-04-12,-0.05953838771147215
2020-04-17,-0.05525047406363716
2020-04-22,-0.051304560872343676
2020-05-07,-0.06348429853615914
2020-05-10,-0.05536688213006419
2020-05-15,-0.05106185088707361
2020-05-17,-0.05682466279520861
2020-05-22,-0.05059425778417298
2020-05-25,-0.046771054095755035
2020-05-27,-0.03231665133953116
2020-06-09,-0.042824084099952836
2020-09-04,-0.054454413921066445
2020-10-17,-0.043698620208361336
2020-10-19,-0.03336788181411339
2020-10-22,-0.045850431909775245
2020-10-24,-0.02922195596363583
2020-10-27,-0.03989866155554847
2020-10-29,-0.021512053225343348
2020-11-01,-0.03720553331501553
2020-11-08,-0.029602340029762222
2020-11-11,-0.02501553608529661
2020-11-13,-0.02857772280135866
2020-11-18,-0.02827625739977669
2020-11-21,-0.027655812647284665
2020-11-23,-0.012551204133620215
2020-11-28,-0.024922791172890365
2020-12-01,-0.022878194147885174
2020-12-18,-0.014214828864876895
2020-12-23,-0.010964032001089691
2020-12-26,-0.02302741113939772
2020-12-28,-0.021970279033750664
2021-01-07,-0.029464040666579698
2021-01-12,-0.044601108850927856
2021-02-04,-0.019938774396682957
2021-02-09,-0.031123997245461162
2021-02-11,-0.04148297925022952
2021-02-14,-0.028084490746959435
2021-02-16,-0.026689955227776698
2021-02-19,-0.0727261243475149
2021-02-21,-0.034412625441009204
2021-02-24,-0.0629560637343433
2021-02-26,-0.026453609648339326
2021-03-01,-0.0580782214544645
2021-03-03,-0.02016035704110751
2021-03-06,-0.04367937484060645
2021-03-08,-0.020885509184335415
2021-03-11,-0.039810579865630205
2021-03-16,-0.028460019863510086
2021-03-18,-0.028532134438858523
2021-03-23,-0.039035344105766194
2021-03-26,-0.039513270474629665
2021-03-28,-0.02548372649670206
2021-03-31,-0.036494844936814194
2021-04-02,-0.017565156960803435
2021-04-05,-0.03032619017479164
2021-04-07,-0.0195719870183694
2021-04-10,-0.036865454712094105
2021-04-17,-0.02919113063810625
2021-04-20,-0.037295455817101676
2021-04-25,-0.02471021711467914
2021-05-02,-0.029542616573022155
2021-05-17,-0.03707766318946552
2021-06-04,-0.040433700455853386
2021-06-06,-0.04195189722906334
2021-09-04,-0.04398162917630185
2021-09-12,-0.03285205003956733
2021-09-24,-0.029895637988665503
2021-10-04,-0.03346956361095895
2021-10-07,-0.044578796669384003
2021-10-09,-0.004313735274516771
2021-10-12,-0.02808186798430427
2021-10-22,0.013910076746729715
2021-10-27,0.0031453730144824516
2021-10-29,-0.007217449342715687
2021-11-01,-0.03159296955014488
2021-11-03,0.005804774573453644
2021-11-06,-0.025061781586779422
2021-11-08,-0.0040262181995169
2021-11-11,-0.01909028594519834
2021-11-13,0.002051637145070541
2021-11-16,-0.017718342491213963
2021-11-18,-0.004144904438494972
2021-11-21,-0.015821462061140736
2021-11-23,-0.0032087147570542093
2021-11-28,-0.009807819971758811
2021-12-01,-0.02120290469582537
2021-12-03,-0.0047220984600525725
2021-12-06,-0.021472369385197542
2021-12-08,-0.020127481877250466
2021-12-11,-0.02625460601767942
2021-12-13,-0.011528263031102562
2021-12-16,-0.018484745641638024
